Unique_id,yr_blt,lotsize,sqft,bath,bedrms,trans_value,pool
9092497,1900,6000,1662,1.75,3,131500,1
9093130,1900,6600,1656,1,3,122500,1
9093172,1900,6000,2814,1.75,4,445000,1
9093524,1900,6000,1514,2,2,247000,1
9093703,1900,4500,1464,1.5,3,271000,1
9093933,1900,2250,822,1,2,179900,1
9094075,1900,4175,2089,3.25,3,336000,1
9094189,1900,6500,2720,1.5,4,232622,0
9094255,1900,4875,1666,1.5,3,405000,1
9094257,1900,4550,2016,1.5,3,180000,0
9094258,1900,6695,2326,2,3,246500,1
9094335,1900,6500,3264,2.5,3,255948,1
9094368,1900,8750,2180,2,3,345000,0
9094682,1900,5000,2649,3,5,191000,0
9094775,1900,5000,1760,1.5,3,330000,1
9094895,1900,4000,2152,1,3,138444,1
9094944,1900,2364,1742,2,3,193500,0
9095025,1900,6000,1265,1.75,3,305000,1
9097125,1900,6000,1674,1.75,4,285000,0
9099273,1900,6000,2552,2.25,4,315000,0
9099662,1900,6600,1256,1,2,92000,0
9100003,1900,5600,1928,1,3,250000,0
9100049,1900,4830,1062,1,2,224900,0
9100177,1900,5880,1732,1.5,3,235000,0
9100267,1900,3120,1244,1,3,253548,0
9100643,1900,6000,1936,2.5,3,229000,1
9100676,1900,6000,1356,1,3,136118,0
9100678,1900,2500,1288,1,3,150000,0
9100756,1900,3250,1540,1,2,163500,1
9100851,1900,3250,1502,1,2,147000,0
9100911,1900,1950,784,1,2,67477,1
9100992,1900,6500,1785,2.25,4,243000,0
9101059,1900,3825,1624,1,4,100000,0
9101230,1900,6000,1216,1.5,3,101500,0
9101354,1900,6500,1302,1,3,101000,1
9101677,1900,6500,748,1,2,100000,1
9102001,1900,8625,944,1,4,168000,0
9102569,1900,6500,1393,2,3,110000,0
9102617,1900,4810,1092,1.75,2,131406,0
9103220,1900,4810,1666,1.75,3,175250,0
9104090,1900,9200,1196,1,3,206000,0
9104203,1900,7100,1352,1,2,181400,0
9105770,1900,6500,2033,1.75,3,187000,0
9105789,1900,9750,907,1,2,90500,0
9105894,1900,6500,1152,1,2,133000,0
9105999,1900,5850,1060,1.75,1,128200,0
9106550,1900,6400,1744,1,2,74200,0
9106616,1900,6400,1752,2,4,275000,0
9106853,1900,12535,1104,1,2,118447,0
9106906,1900,6000,1928,1,4,242000,0
9108253,1900,5500,1663,1.75,2,205000,0
9110639,1900,6388,2699,1.75,3,267000,0
9113184,1900,3437,702,1,2,138500,0
9115891,1900,69696,1780,1,4,200000,0
9116486,1900,35719,1738,1,2,175000,1
9116917,1900,9100,1197,1,3,154400,1
9116931,1900,9200,1608,1,3,236000,0
9116964,1900,116305.2,2158,1,3,208000,0
9117031,1900,27878,2568,2.5,3,359145,0
9117041,1900,4800,1228,1,2,150000,0
9126391,1900,21798,792,1,2,119000,0
9126643,1900,6870,924,1,2,150000,1
9126931,1900,10890,1346,1,1,187000,0
9127474,1900,14996,1480,1,2,250000,0
9127959,1900,7500,1244,1,3,205950,0
9127962,1900,7000,1504,1,5,281500,0
9128061,1900,7000,1100,1,3,210000,1
9128128,1900,14091,3154,2.75,4,393950,0
9131041,1900,46264,2722,1,2,309750,0
9131348,1900,25700,1024,1,2,246000,0
9131973,1900,34848,1402,1,3,155000,0
9131993,1900,14228,1402,1,3,190400,0
9132030,1900,10224,3083,2.75,5,299000,0
9134493,1900,6970,960,1,3,102000,0
9134868,1900,14375,1452,1.75,3,174510,0
9139856,1900,13500,1944,1,3,174950,0
9143240,1900,40946,1560,1,4,121000,1
9146293,1900,12196,1089,1,2,79950,0
9147376,1900,106286.4,1493,1.75,3,330000,0
9147413,1900,10900,1408,1,3,101427,0
9148374,1900,26214,1060,1,2,114278,0
9153923,1900,12300,2341,1.75,3,307000,0
9094139,1901,6500,3155,1.75,3,222900,1
9094306,1902,2500,966,1.5,3,122950,1
9094323,1902,4865,1459,1,2,249950,1
9094452,1902,4080,1357,1,2,365000,1
9100742,1902,4875,1047,1,2,147500,0
9104632,1902,5850,2120,1.75,3,244000,0
9106054,1902,12500,2488,3,2,127974,0
9108097,1902,5000,2167,1,3,183000,0
9109584,1902,18720,1676,1.75,3,99900,0
9092001,1903,3250,720,1,1,68641,1
9094465,1903,5000,1825,1.5,3,365000,1
9098033,1903,9000,1724,1,3,146000,0
